slug,name,county,region
battersea,Battersea,Greater London,London
brixton,Brixton,Greater London,London
camden,Camden,Greater London,London
canary-wharf,Canary Wharf,Greater London,London
chelsea,Chelsea,Greater London,London
chiswick,Chiswick,Greater London,London
clapham,Clapham,Greater London,London
croydon,Croydon,Greater London,London
dulwich,Dulwich,Greater London,London
ealing,Ealing,Greater London,London
fulham,Fulham,Greater London,London
greenwich,Greenwich,Greater London,London
hackney,Hackney,Greater London,London
hammersmith,Hammersmith,Greater London,London
hampstead,Hampstead,Greater London,London
highgate,Highgate,Greater London,London
islington,Islington,Greater London,London
kensington,Kensington,Greater London,London
kingston-upon-thames,Kingston upon Thames,Greater London,London
lewisham,Lewisham,Greater London,London
mayfair,Mayfair,Greater London,London
notting-hill,Notting Hill,Greater London,London
putney,Putney,Greater London,London
richmond,Richmond,Greater London,London
shoreditch,Shoreditch,Greater London,London
stratford,Stratford,Greater London,London
wandsworth,Wandsworth,Greater London,London
wembley,Wembley,Greater London,London
wimbledon,Wimbledon,Greater London,London
woolwich,Woolwich,Greater London,London
reading,Reading,Berkshire,South East
milton-keynes,Milton Keynes,Buckinghamshire,South East
brighton,Brighton,East Sussex,South East
oxford,Oxford,Oxfordshire,South East
guildford,Guildford,Surrey,South East
maidstone,Maidstone,Kent,South East
slough,Slough,Berkshire,South East
tunbridge-wells,Tunbridge Wells,Kent,South East
canterbury,Canterbury,Kent,South East
crawley,Crawley,West Sussex,South East
worthing,Worthing,West Sussex,South East
eastbourne,Eastbourne,East Sussex,South East
basingstoke,Basingstoke,Hampshire,South East
high-wycombe,High Wycombe,Buckinghamshire,South East
woking,Woking,Surrey,South East
bristol,Bristol,Bristol,South West
bath,Bath,Somerset,South West
bournemouth,Bournemouth,Dorset,South West
plymouth,Plymouth,Devon,South West
exeter,Exeter,Devon,South West
cheltenham,Cheltenham,Gloucestershire,South West
swindon,Swindon,Wiltshire,South West
poole,Poole,Dorset,South West
cambridge,Cambridge,Cambridgeshire,East of England
norwich,Norwich,Norfolk,East of England
ipswich,Ipswich,Suffolk,East of England
peterborough,Peterborough,Cambridgeshire,East of England
watford,Watford,Hertfordshire,East of England
st-albans,St Albans,Hertfordshire,East of England
colchester,Colchester,Essex,East of England
chelmsford,Chelmsford,Essex,East of England
nottingham,Nottingham,Nottinghamshire,East Midlands
leicester,Leicester,Leicestershire,East Midlands
derby,Derby,Derbyshire,East Midlands
lincoln,Lincoln,Lincolnshire,East Midlands
northampton,Northampton,Northamptonshire,East Midlands
birmingham,Birmingham,West Midlands,West Midlands
coventry,Coventry,West Midlands,West Midlands
wolverhampton,Wolverhampton,West Midlands,West Midlands
stoke-on-trent,Stoke-on-Trent,Staffordshire,West Midlands
solihull,Solihull,West Midlands,West Midlands
worcester,Worcester,Worcestershire,West Midlands
leeds,Leeds,West Yorkshire,Yorkshire and the Humber
sheffield,Sheffield,South Yorkshire,Yorkshire and the Humber
bradford,Bradford,West Yorkshire,Yorkshire and the Humber
york,York,North Yorkshire,Yorkshire and the Humber
hull,Hull,East Yorkshire,Yorkshire and the Humber
harrogate,Harrogate,North Yorkshire,Yorkshire and the Humber
manchester,Manchester,Greater Manchester,North West
liverpool,Liverpool,Merseyside,North West
chester,Chester,Cheshire,North West
preston,Preston,Lancashire,North West
stockport,Stockport,Greater Manchester,North West
warrington,Warrington,Cheshire,North West
blackpool,Blackpool,Lancashire,North West
salford,Salford,Greater Manchester,North West
newcastle-upon-tyne,Newcastle upon Tyne,Tyne and Wear,North East
sunderland,Sunderland,Tyne and Wear,North East
durham,Durham,County Durham,North East
edinburgh,Edinburgh,City of Edinburgh,Scotland
glasgow,Glasgow,City of Glasgow,Scotland
aberdeen,Aberdeen,Aberdeen City,Scotland
dundee,Dundee,Dundee City,Scotland
inverness,Inverness,Highland,Scotland
cardiff,Cardiff,Cardiff,Wales
swansea,Swansea,Swansea,Wales
newport,Newport,Newport,Wales
wrexham,Wrexham,Wrexham,Wales
belfast,Belfast,County Antrim,Northern Ireland
derry,Derry,County Londonderry,Northern Ireland
